alpha body, CL_e
 -10.000000,    0.385203
  -9.090909,    0.477017
  -8.181818,    0.568679
  -7.272727,    0.660179
  -6.363636,    0.751510
  -5.454545,    0.842676
  -4.545455,    0.933692
  -3.636364,    1.024544
  -2.727273,    1.115225
  -1.818182,    1.206105
  -0.909091,    1.296513
  -0.000000,    1.386754
   0.909091,    1.476831
   1.818182,    1.566735
   2.727273,    1.656467
   3.636364,    1.746022
   4.545455,    1.835408
   5.454545,    1.924629
   6.363636,    2.013678
   7.272727,    2.102550
   8.181818,    2.191248
   9.090909,    2.279775
  10.000000,    2.368136
  10.909091,    2.456328
  11.818182,    2.543624
  12.727273,    2.626441
  13.636364,    2.701155
  14.545455,    2.765018
  15.454545,    2.816153
  16.363636,    2.853544
  17.272727,    2.877048
