alpha body, CL_e
 -10.000000,    0.393779
  -9.000000,    0.497195
  -8.000000,    0.600411
  -7.000000,    0.703434
  -6.000000,    0.806248
  -5.000000,    0.908852
  -4.000000,    1.011248
  -3.000000,    1.113445
  -2.000000,    1.215793
  -1.000000,    1.317630
   0.000000,    1.419249
   1.000000,    1.520648
   2.000000,    1.621819
   3.000000,    1.722765
   4.000000,    1.823495
   5.000000,    1.924004
   6.000000,    2.024283
   7.000000,    2.124334
   8.000000,    2.224154
   9.000000,    2.323744
  10.000000,    2.423101
  11.000000,    2.522233
  12.000000,    2.619859
  13.000000,    2.710967
  14.000000,    2.790915
  15.000000,    2.856375
  16.000000,    2.905333
  17.000000,    2.937074
  18.000000,    2.952174
  19.000000,    2.952393
  20.000000,    2.940253
