alpha body, CL_e
 -10.000000,    0.393706
  -9.000000,    0.497101
  -8.000000,    0.600297
  -7.000000,    0.703299
  -6.000000,    0.806092
  -5.000000,    0.908676
  -4.000000,    1.011052
  -3.000000,    1.113228
  -2.000000,    1.215556
  -1.000000,    1.317373
   0.000000,    1.418972
   1.000000,    1.520351
   2.000000,    1.621502
   3.000000,    1.722428
   4.000000,    1.823138
   5.000000,    1.923628
   6.000000,    2.023888
   7.000000,    2.123920
   8.000000,    2.223721
   9.000000,    2.323292
  10.000000,    2.422631
  11.000000,    2.521744
  12.000000,    2.619353
  13.000000,    2.710444
  14.000000,    2.790377
  15.000000,    2.855826
  16.000000,    2.904776
  17.000000,    2.936512
  18.000000,    2.951610
  19.000000,    2.951830
  20.000000,    2.939694
