alpha body, CL_e
 -10.000000,    0.394046
  -9.090909,    0.488147
  -8.181818,    0.582092
  -7.272727,    0.675870
  -6.363636,    0.769473
  -5.454545,    0.862905
  -4.545455,    0.956179
  -3.636364,    1.049280
  -2.727273,    1.142203
  -1.818182,    1.235322
  -0.909091,    1.327950
  -0.000000,    1.420402
   0.909091,    1.512676
   1.818182,    1.604766
   2.727273,    1.696668
   3.636364,    1.788381
   4.545455,    1.879908
   5.454545,    1.971256
   6.363636,    2.062417
   7.272727,    2.153383
   8.181818,    2.244157
   9.090909,    2.334743
  10.000000,    2.425145
  10.909091,    2.515360
  11.818182,    2.604643
  12.727273,    2.689326
  13.636364,    2.765701
  14.545455,    2.830960
  15.454545,    2.883185
  16.363636,    2.921341
  17.272727,    2.945286
  18.181818,    2.955763
  19.090909,    2.954250
  20.000000,    2.942748
