alpha body, CL_e
 -10.000000,    0.385044
  -9.000000,    0.485975
  -8.000000,    0.586711
  -7.000000,    0.687260
  -6.000000,    0.787607
  -5.000000,    0.887753
  -4.000000,    0.987701
  -3.000000,    1.087460
  -2.000000,    1.187372
  -1.000000,    1.286795
   0.000000,    1.386012
   1.000000,    1.485024
   2.000000,    1.583823
   3.000000,    1.682414
   4.000000,    1.780806
   5.000000,    1.878994
   6.000000,    1.976972
   7.000000,    2.074742
   8.000000,    2.172300
   9.000000,    2.269650
  10.000000,    2.366789
  11.000000,    2.463724
  12.000000,    2.559206
  13.000000,    2.648335
  14.000000,    2.726572
  15.000000,    2.790662
  16.000000,    2.838630
  17.000000,    2.869770
  18.000000,    2.884638
