eta, M
   0.000000, 8983.126064
   0.020408, 8548.893944
   0.040816, 8145.432200
   0.061224, 7739.441074
   0.081633, 7331.332939
   0.102041, 6921.545099
   0.122449, 6510.528079
   0.142857, 6098.740491
   0.163265, 5686.646248
   0.183673, 5274.712956
   0.204082, 4863.411040
   0.224490, 4453.213401
   0.244898, 4044.595501
   0.265306, 3638.035811
   0.285714, 3234.016594
   0.306122, 2833.024986
   0.326531, 2435.554387
   0.346939, 2042.106145
   0.367347, 1653.191546
   0.387755, 1269.334136
   0.408163,  891.072401
   0.428571,  518.962838
   0.448980,  153.583496
   0.469388, -204.461966
   0.489796, -554.539591
   0.510204, -895.973255
   0.530612, -1228.041968
   0.551020, -1549.985863
   0.571429, -1860.982642
   0.591837, -2160.140809
   0.612245, -2446.487099
   0.632653, -2718.951292
   0.653061, -2976.347663
   0.673469, -3217.352071
   0.693878, -3440.473332
   0.714286, -3644.016919
   0.734694, -3826.038207
   0.755102, -3984.281140
   0.775510, -4116.096030
   0.795918, -4218.326611
   0.816327, -4287.150145
   0.836735, -4317.842905
   0.857143, -4304.420919
   0.877551, -4239.059305
   0.897959, -4111.087514
   0.918367, -3905.087475
   0.938776, -3596.816016
   0.959184, -3142.651051
   0.979592, -2441.533428
   1.000000,    0.000000
