eta, M
   0.000000, 1796.625213
   0.020408, 1709.778789
   0.040816, 1629.086440
   0.061224, 1547.888215
   0.081633, 1466.266588
   0.102041, 1384.309020
   0.122449, 1302.105616
   0.142857, 1219.748098
   0.163265, 1137.329250
   0.183673, 1054.942591
   0.204082,  972.682208
   0.224490,  890.642680
   0.244898,  808.919100
   0.265306,  727.607162
   0.285714,  646.803319
   0.306122,  566.604997
   0.326531,  487.110877
   0.346939,  408.421229
   0.367347,  330.638309
   0.387755,  253.866827
   0.408163,  178.214480
   0.428571,  103.792568
   0.448980,   30.716699
   0.469388,  -40.892393
   0.489796, -110.907918
   0.510204, -179.194651
   0.530612, -245.608394
   0.551020, -309.997173
   0.571429, -372.196528
   0.591837, -432.028162
   0.612245, -489.297420
   0.632653, -543.790258
   0.653061, -595.269533
   0.673469, -643.470414
   0.693878, -688.094666
   0.714286, -728.803384
   0.734694, -765.207641
   0.755102, -796.856228
   0.775510, -823.219206
   0.795918, -843.665322
   0.816327, -857.430029
   0.836735, -863.568581
   0.857143, -860.884184
   0.877551, -847.811861
   0.897959, -822.217503
   0.918367, -781.017495
   0.938776, -719.363203
   0.959184, -628.530210
   0.979592, -488.306686
   1.000000,    0.000000
