eta, Cl
   0.000000,    1.165183
   0.020408,    1.173924
   0.040816,    1.190375
   0.061224,    1.205661
   0.081633,    1.220021
   0.102041,    1.233611
   0.122449,    1.246546
   0.142857,    1.258916
   0.163265,    1.270797
   0.183673,    1.282255
   0.204082,    1.293350
   0.224490,    1.304142
   0.244898,    1.314693
   0.265306,    1.325084
   0.285714,    1.334982
   0.306122,    1.342080
   0.326531,    1.344083
   0.346939,    1.344801
   0.367347,    1.345168
   0.387755,    1.345164
   0.408163,    1.344778
   0.428571,    1.344006
   0.448980,    1.342843
   0.469388,    1.341281
   0.489796,    1.339312
   0.510204,    1.336919
   0.530612,    1.334081
   0.551020,    1.330779
   0.571429,    1.326980
   0.591837,    1.322644
   0.612245,    1.317721
   0.632653,    1.312145
   0.653061,    1.305836
   0.673469,    1.298693
   0.693878,    1.290589
   0.714286,    1.281360
   0.734694,    1.270800
   0.755102,    1.258643
   0.775510,    1.244538
   0.795918,    1.228023
   0.816327,    1.208477
   0.836735,    1.185046
   0.857143,    1.156531
   0.877551,    1.121198
   0.897959,    1.076445
   0.918367,    1.018174
   0.938776,    0.939465
   0.959184,    0.827267
   0.979592,    0.651029
   1.000000,    0.000000
