alpha_b, CM
  -4.000000,    0.000081
  -3.517241,    0.000074
  -3.034483,    0.000068
  -2.551724,    0.000062
  -2.068966,    0.000056
  -1.586207,    0.000050
  -1.103448,    0.000044
  -0.620690,    0.000038
  -0.137931,    0.000032
   0.344828,    0.000026
   0.827586,    0.000020
   1.310345,    0.000015
   1.793103,    0.000009
   2.275862,    0.000003
   2.758621,   -0.000003
   3.241379,   -0.000008
   3.724138,   -0.000014
   4.206897,   -0.000020
   4.689655,   -0.000026
   5.172414,   -0.000031
   5.655172,   -0.000037
   6.137931,   -0.000043
   6.620690,   -0.000049
   7.103448,   -0.000055
   7.586207,   -0.000061
   8.068966,   -0.000068
