alpha body, CL_e
 -10.000000,   -0.049640
  -9.090909,    0.044547
  -8.181818,    0.138585
  -7.272727,    0.232463
  -6.363636,    0.326176
  -5.454545,    0.419725
  -4.545455,    0.513126
  -3.636364,    0.606366
  -2.727273,    0.699437
  -1.818182,    0.792708
  -0.909091,    0.885508
  -0.000000,    0.978143
   0.909091,    1.070615
   1.818182,    1.162915
   2.727273,    1.255043
   3.636364,    1.346996
   4.545455,    1.438779
   5.454545,    1.530398
   6.363636,    1.621845
   7.272727,    1.713115
   8.181818,    1.804201
   9.090909,    1.893622
  10.000000,    1.977231
  10.909091,    2.051406
  11.818182,    2.113497
  12.727273,    2.161811
  13.636364,    2.195624
  14.545455,    2.215158
  15.454545,    2.221567
  16.363636,    2.216939
  17.272727,    2.204301
  18.181818,    2.187605
  19.090909,    2.171602
