alpha body, CL_e
 -10.000000,   -0.050971
  -9.000000,    0.055052
  -8.000000,    0.160881
  -7.000000,    0.266525
  -6.000000,    0.371966
  -5.000000,    0.477203
  -4.000000,    0.582238
  -3.000000,    0.687079
  -2.000000,    0.792076
  -1.000000,    0.896568
   0.000000,    1.000847
   1.000000,    1.104909
   2.000000,    1.208748
   3.000000,    1.312366
   4.000000,    1.415771
   5.000000,    1.518959
   6.000000,    1.621919
   7.000000,    1.724655
   8.000000,    1.827162
   9.000000,    1.928240
  10.000000,    2.022634
  11.000000,    2.105365
  12.000000,    2.172901
  13.000000,    2.223141
  14.000000,    2.255415
  15.000000,    2.270470
  16.000000,    2.270464
  17.000000,    2.258949
  18.000000,    2.240870
  19.000000,    2.222446
  20.000000,    2.210754
