alpha body, CL_e
 -10.000000,   -0.047525
  -9.090909,    0.043215
  -8.181818,    0.133808
  -7.272727,    0.224244
  -6.363636,    0.314518
  -5.454545,    0.404636
  -4.545455,    0.494612
  -3.636364,    0.584435
  -2.727273,    0.674100
  -1.818182,    0.763962
  -0.909091,    0.853376
  -0.000000,    0.942639
   0.909091,    1.031752
   1.818182,    1.120709
   2.727273,    1.209511
   3.636364,    1.298155
   4.545455,    1.386649
   5.454545,    1.474997
   6.363636,    1.563193
   7.272727,    1.651234
   8.181818,    1.739114
   9.090909,    1.825406
  10.000000,    1.906108
  10.909091,    1.977728
