alpha body, CL_e
 -10.000000,   -0.049584
  -9.000000,    0.053951
  -8.000000,    0.157294
  -7.000000,    0.260454
  -6.000000,    0.363414
  -5.000000,    0.466176
  -4.000000,    0.568743
  -3.000000,    0.671122
  -2.000000,    0.773658
  -1.000000,    0.875704
   0.000000,    0.977547
   1.000000,    1.079187
   2.000000,    1.180614
   3.000000,    1.281834
   4.000000,    1.382856
   5.000000,    1.483675
   6.000000,    1.584282
   7.000000,    1.684682
   8.000000,    1.784871
   9.000000,    1.883675
  10.000000,    1.975962
  11.000000,    2.056865
  12.000000,    2.122927
  13.000000,    2.172090
  14.000000,    2.203695
  15.000000,    2.218467
  16.000000,    2.218506
  17.000000,    2.207283
  18.000000,    2.189626
  19.000000,    2.171622
