alpha body, CL_e
 -10.000000,   -0.049588
  -9.000000,    0.053955
  -8.000000,    0.157305
  -7.000000,    0.260472
  -6.000000,    0.363440
  -5.000000,    0.466210
  -4.000000,    0.568784
  -3.000000,    0.671171
  -2.000000,    0.773714
  -1.000000,    0.875768
   0.000000,    0.977619
   1.000000,    1.079266
   2.000000,    1.180700
   3.000000,    1.281928
   4.000000,    1.382957
   5.000000,    1.483783
   6.000000,    1.584398
   7.000000,    1.684805
   8.000000,    1.785001
   9.000000,    1.883812
  10.000000,    1.976106
  11.000000,    2.057014
  12.000000,    2.123080
  13.000000,    2.172247
  14.000000,    2.203854
  15.000000,    2.218627
  16.000000,    2.218666
  17.000000,    2.207442
  18.000000,    2.189783
  19.000000,    2.171778
