alpha body, CL_e
 -10.000000,   -0.047924
  -9.000000,    0.051076
  -8.000000,    0.149918
  -7.000000,    0.248611
  -6.000000,    0.347144
  -5.000000,    0.445517
  -4.000000,    0.543736
  -3.000000,    0.641808
  -2.000000,    0.740065
  -1.000000,    0.837890
   0.000000,    0.935559
   1.000000,    1.033071
   2.000000,    1.130423
   3.000000,    1.227618
   4.000000,    1.324664
   5.000000,    1.421558
   6.000000,    1.518297
   7.000000,    1.614882
   8.000000,    1.711313
   9.000000,    1.806464
