alpha body, CL_e
 -10.000000,   -0.048665
  -9.090909,    0.042520
  -8.181818,    0.133582
  -7.272727,    0.224514
  -6.363636,    0.315310
  -5.454545,    0.405973
  -4.545455,    0.496517
  -3.636364,    0.586930
  -2.727273,    0.677207
  -1.818182,    0.767706
  -0.909091,    0.857778
  -0.000000,    0.947718
   0.909091,    1.037528
   1.818182,    1.127203
   2.727273,    1.216742
   3.636364,    1.306144
   4.545455,    1.395413
   5.454545,    1.484553
   6.363636,    1.573560
   7.272727,    1.662429
   8.181818,    1.751155
   9.090909,    1.838297
  10.000000,    1.919821
  10.909091,    1.992204
  11.818182,    2.052858
