alpha body, CL_e
 -10.000000,   -0.051052
  -9.090909,    0.045437
  -8.181818,    0.141775
  -7.272727,    0.237953
  -6.363636,    0.333961
  -5.454545,    0.429802
  -4.545455,    0.525491
  -3.636364,    0.621012
  -2.727273,    0.716359
  -1.818182,    0.811906
  -0.909091,    0.906967
  -0.000000,    1.001856
   0.909091,    1.096570
   1.818182,    1.191103
   2.727273,    1.285453
   3.636364,    1.379615
   4.545455,    1.473596
   5.454545,    1.567399
   6.363636,    1.661017
   7.272727,    1.754443
   8.181818,    1.847670
   9.090909,    1.939182
  10.000000,    2.024731
  10.909091,    2.100614
  11.818182,    2.164117
  12.727273,    2.213512
  13.636364,    2.248062
  14.545455,    2.267999
  15.454545,    2.274511
  16.363636,    2.269736
  17.272727,    2.256777
  18.181818,    2.239679
  19.090909,    2.223294
  20.000000,    2.213056
