alpha body, CL_e
 -10.000000,   -0.047474
  -9.000000,    0.052278
  -8.000000,    0.151839
  -7.000000,    0.251221
  -6.000000,    0.350409
  -5.000000,    0.449407
  -4.000000,    0.548219
  -3.000000,    0.646855
  -2.000000,    0.745646
  -1.000000,    0.843973
   0.000000,    0.942113
   1.000000,    1.040067
   2.000000,    1.137828
   3.000000,    1.235402
   4.000000,    1.332798
   5.000000,    1.430014
   6.000000,    1.527044
   7.000000,    1.623891
   8.000000,    1.720553
   9.000000,    1.815901
  10.000000,    1.904984
  11.000000,    1.983105
