alpha body, CL_e
 -10.000000,   -0.050983
  -9.000000,    0.055061
  -8.000000,    0.160911
  -7.000000,    0.266576
  -6.000000,    0.372037
  -5.000000,    0.477295
  -4.000000,    0.582351
  -3.000000,    0.687213
  -2.000000,    0.792231
  -1.000000,    0.896744
   0.000000,    1.001042
   1.000000,    1.105125
   2.000000,    1.208984
   3.000000,    1.312622
   4.000000,    1.416047
   5.000000,    1.519255
   6.000000,    1.622235
   7.000000,    1.724991
   8.000000,    1.827518
   9.000000,    1.928614
  10.000000,    2.023026
  11.000000,    2.105773
  12.000000,    2.173321
  13.000000,    2.223570
  14.000000,    2.255850
  15.000000,    2.270907
  16.000000,    2.270900
  17.000000,    2.259383
  18.000000,    2.241300
  19.000000,    2.222873
  20.000000,    2.211179
