alpha body, Neutral Point
 -10.000000,    0.234874
  -9.000000,    0.245734
  -8.000000,    0.267090
  -7.000000,    0.288382
  -6.000000,    0.309758
  -5.000000,    0.330735
  -4.000000,    0.348015
  -3.000000,    0.361347
  -2.000000,    0.382677
  -1.000000,    0.404344
   0.000000,    0.417563
   1.000000,    0.430650
   2.000000,    0.443537
   3.000000,    0.455561
   4.000000,    0.467032
   5.000000,    0.478348
   6.000000,    0.489381
   7.000000,    0.499979
   8.000000,    0.510214
   9.000000,    0.519969
  10.000000,    0.529241
  11.000000,    0.541476
  12.000000,    0.569210
  13.000000,    0.628561
  14.000000,    0.735735
  15.000000,    1.039032
  16.000000,    1.669506
  17.000000,    3.299354
  18.000000,  151.008447
  19.000000,  146.425619
  20.000000,   -4.631503
