alpha body, Neutral Point
 -10.000000,    0.233767
  -9.090909,    0.243338
  -8.181818,    0.262675
  -7.272727,    0.282285
  -6.363636,    0.301790
  -5.454545,    0.320533
  -4.545455,    0.338962
  -3.636364,    0.355049
  -2.727273,    0.365073
  -1.818182,    0.384056
  -0.909091,    0.405725
  -0.000000,    0.417430
   0.909091,    0.429016
   1.818182,    0.440664
   2.727273,    0.452111
   3.636364,    0.463032
   4.545455,    0.473184
   5.454545,    0.483076
   6.363636,    0.493085
   7.272727,    0.502768
   8.181818,    0.511840
   9.090909,    0.520317
  10.000000,    0.528470
  10.909091,    0.538897
  11.818182,    0.561319
  12.727273,    0.607359
  13.636364,    0.687390
  14.545455,    0.856137
  15.454545,    1.259206
  16.363636,    2.033083
  17.272727,    4.247537
  18.181818,  -16.017975
  19.090909,  -21.220748
  20.000000,   -4.433057
