alpha body, Neutral Point
 -10.000000,    0.228493
  -9.090909,    0.238520
  -8.181818,    0.258763
  -7.272727,    0.279249
  -6.363636,    0.299559
  -5.454545,    0.318984
  -4.545455,    0.338023
  -3.636364,    0.354569
  -2.727273,    0.364684
  -1.818182,    0.384164
  -0.909091,    0.406435
  -0.000000,    0.418195
   0.909091,    0.429790
   1.818182,    0.441407
   2.727273,    0.452777
   3.636364,    0.463560
   4.545455,    0.473514
   5.454545,    0.483166
   6.363636,    0.492905
   7.272727,    0.502271
   8.181818,    0.510979
   9.090909,    0.519054
  10.000000,    0.526775
  10.909091,    0.536856
  11.818182,    0.559509
  12.727273,    0.606935
  13.636364,    0.689983
  14.545455,    0.865761
  15.454545,    1.286003
  16.363636,    2.092145
  17.272727,    4.387814
