alpha body, Neutral Point
 -10.000000,    0.236421
  -9.090909,    0.246128
  -8.181818,    0.265670
  -7.272727,    0.285338
  -6.363636,    0.304729
  -5.454545,    0.323187
  -4.545455,    0.341184
  -3.636364,    0.356386
  -2.727273,    0.364658
  -1.818182,    0.382840
  -0.909091,    0.403974
  -0.000000,    0.413920
   0.909091,    0.423615
   1.818182,    0.433252
   2.727273,    0.442570
   3.636364,    0.451257
   4.545455,    0.459106
   5.454545,    0.466602
   6.363636,    0.474083
