alpha body, Neutral Point
 -10.000000,    0.229995
  -9.000000,    0.241377
  -8.000000,    0.263707
  -7.000000,    0.285896
  -6.000000,    0.308113
  -5.000000,    0.329832
  -4.000000,    0.347595
  -3.000000,    0.361147
  -2.000000,    0.383051
  -1.000000,    0.405270
   0.000000,    0.418567
   1.000000,    0.431675
   2.000000,    0.444520
   3.000000,    0.456424
   4.000000,    0.467715
   5.000000,    0.478805
   6.000000,    0.489561
   7.000000,    0.499829
   8.000000,    0.509684
   9.000000,    0.519009
  10.000000,    0.527811
  11.000000,    0.539719
  12.000000,    0.567881
  13.000000,    0.629155
  14.000000,    0.740432
  15.000000,    1.056324
  16.000000,    1.712963
  17.000000,    3.405242
  18.000000,  107.701342
