eta, cCl
   0.000000,    2.398595
   0.020408,    2.391421
   0.040816,    2.394648
   0.061224,    2.398281
   0.081633,    2.401777
   0.102041,    2.404829
   0.122449,    2.407247
   0.142857,    2.408901
   0.163265,    2.409703
   0.183673,    2.409590
   0.204082,    2.408514
   0.224490,    2.406436
   0.244898,    2.403324
   0.265306,    2.399152
   0.285714,    2.393891
   0.306122,    2.387516
   0.326531,    2.379998
   0.346939,    2.371309
   0.367347,    2.361413
   0.387755,    2.350275
   0.408163,    2.337853
   0.428571,    2.324100
   0.448980,    2.308961
   0.469388,    2.292376
   0.489796,    2.274277
   0.510204,    2.254567
   0.530612,    2.233153
   0.551020,    2.209949
   0.571429,    2.184837
   0.591837,    2.157685
   0.612245,    2.128340
   0.632653,    2.096628
   0.653061,    2.062351
   0.673469,    2.025278
   0.693878,    1.985144
   0.714286,    1.941641
   0.734694,    1.894411
   0.755102,    1.843031
   0.775510,    1.787001
   0.795918,    1.725719
   0.816327,    1.658453
   0.836735,    1.584290
   0.857143,    1.502062
   0.877551,    1.410217
   0.897959,    1.306595
   0.918367,    1.187984
   0.938776,    1.049153
   0.959184,    0.880308
   0.979592,    0.657717
   1.000000,    0.000000
