Ground Distance, 
   0.000000,  126.720219
 787.639352,  126.720219
 824.646390,  125.095601
 861.653429,  123.470983
 898.660468,  121.846365
 935.667506,  120.221747
 972.674545,  118.597128
1009.681584,  116.972510
1046.688622,  115.347892
1083.695661,  113.723274
1120.702699,  112.098656
1123.401550,  112.070470
1150.352771,  111.789165
1337.384298,  109.845191
1374.399154,  109.462145
1411.285025,  109.080982
1448.042546,  108.701686
1484.672345,  108.324245
1487.101438,  108.299234
1488.962296,  108.280075
1490.523985,  108.263998
1491.316368,  108.255841
1491.812963,  108.250729
1492.218916,  108.246550
1492.378281,  108.244909
1492.476974,  108.243893
1492.527629,  108.243372
1492.548959,  108.243150
1492.570317,  108.242905
1492.783893,  108.240462
1494.919385,  108.216003
1516.247551,  107.968371
1661.638817,  106.104832
1806.077723,  103.900134
1942.480526,  101.415682
1996.039409,  100.312123
2033.964572,   99.480953
2072.011654,   98.602188
2186.483005,   95.651724
2296.396727,   92.301145
2397.772305,   88.640967
2490.510898,   84.679808
2574.780591,   80.425633
2650.837811,   75.889670
2719.008677,   71.085608
2779.671911,   66.028443
2833.238883,   60.733337
2844.826487,   59.457910
2851.772318,   58.667540
2860.016268,   57.702765
2867.523836,   56.797894
2910.191779,   51.098747
2915.837031,   50.261437
2918.374851,   49.877619
2921.034465,   49.470243
2946.410382,   45.286536
2978.177784,   39.067776
2979.282112,   38.825805
2980.427914,   38.572576
2991.470361,   36.009396
3017.048174,   28.930973
3037.318520,   21.306400
3041.139880,   19.484261
3041.578257,   19.262986
3041.971498,   19.062063
3045.676224,   17.040280
3056.673002,    8.264352
3058.206190,    6.044008
3058.891013,    4.716629
3059.365618,    3.507907
3059.683596,    2.370719
3059.869957,    1.299818
3059.945720,    0.295051
3059.949503,    0.082991
3059.949811,    0.019239
3059.949826,   -0.006981
