eta, Cl
   0.000000,    1.625575
   0.020408,    1.631337
   0.040816,    1.642458
   0.061224,    1.653203
   0.081633,    1.663522
   0.102041,    1.673379
   0.122449,    1.682746
   0.142857,    1.691600
   0.163265,    1.699919
   0.183673,    1.707686
   0.204082,    1.714880
   0.224490,    1.721483
   0.244898,    1.727474
   0.265306,    1.732834
   0.285714,    1.737539
   0.306122,    1.741564
   0.326531,    1.744882
   0.346939,    1.747462
   0.367347,    1.749270
   0.387755,    1.750269
   0.408163,    1.750416
   0.428571,    1.749663
   0.448980,    1.747957
   0.469388,    1.745238
   0.489796,    1.741439
   0.510204,    1.736472
   0.530612,    1.730249
   0.551020,    1.722684
   0.571429,    1.713666
   0.591837,    1.703070
   0.612245,    1.690755
   0.632653,    1.676554
   0.653061,    1.660282
   0.673469,    1.641720
   0.693878,    1.620616
   0.714286,    1.596675
   0.734694,    1.569549
   0.755102,    1.538824
   0.775510,    1.504004
   0.795918,    1.464483
   0.816327,    1.419514
   0.836735,    1.368156
   0.857143,    1.309194
   0.877551,    1.241011
   0.897959,    1.161359
   0.918367,    1.066931
   0.938776,    0.952419
   0.959184,    0.808061
   0.979592,    0.610683
   1.000000,    0.000000
