eta, D
   0.000000,  556.413932
   0.020408,  553.987760
   0.040816,  550.650398
   0.061224,  547.021971
   0.081633,  543.247291
   0.102041,  539.400237
   0.122449,  535.488979
   0.142857,  531.525038
   0.163265,  527.518051
   0.183673,  523.474645
   0.204082,  519.399646
   0.224490,  515.296726
   0.244898,  511.168776
   0.265306,  507.018139
   0.285714,  502.846751
   0.306122,  498.656252
   0.326531,  494.448052
   0.346939,  490.223398
   0.367347,  485.983432
   0.387755,  481.729255
   0.408163,  477.462024
   0.428571,  473.183139
   0.448980,  468.894710
   0.469388,  464.601296
   0.489796,  460.326137
   0.510204,  455.996715
   0.530612,  451.606399
   0.551020,  447.231298
   0.571429,  442.851445
   0.591837,  438.464123
   0.612245,  434.068917
   0.632653,  429.666296
   0.653061,  425.257376
   0.673469,  420.868912
   0.693878,  416.491133
   0.714286,  412.120133
   0.734694,  407.762671
   0.755102,  403.428925
   0.775510,  399.134567
   0.795918,  394.904415
   0.816327,  390.779161
   0.836735,  386.895433
   0.857143,  383.340894
   0.877551,  380.344836
   0.897959,  378.435351
   0.918367,  379.053488
   0.938776,  385.810065
   0.959184,  368.975570
   0.979592,  457.034011
   1.000000,  101.015980
