eta, D
   0.000000,  161.838982
   0.020408,  161.838982
   0.040816,  161.838982
   0.061224,  161.838982
   0.081633,  161.838982
   0.102041,  161.838982
   0.122449,  161.838982
   0.142857,  161.838982
   0.163265,  161.838982
   0.183673,  161.838982
   0.204082,  161.838982
   0.224490,  161.838982
   0.244898,  161.838982
   0.265306,  161.838982
   0.285714,  161.838982
   0.306122,  161.838982
   0.326531,  161.838982
   0.346939,  161.838982
   0.367347,  161.838982
   0.387755,  161.838982
   0.408163,  161.838982
   0.428571,  161.838982
   0.448980,  161.838982
   0.469388,  161.838982
   0.489796,  161.838982
   0.510204,  161.838982
   0.530612,  161.838982
   0.551020,  161.838982
   0.571429,  161.838982
   0.591837,  161.838982
   0.612245,  161.838982
   0.632653,  161.838982
   0.653061,  161.838982
   0.673469,  161.838982
   0.693878,  161.838982
   0.714286,  161.838982
   0.734694,  161.838982
   0.755102,  161.838982
   0.775510,  161.838982
   0.795918,  161.838982
   0.816327,  161.838982
   0.836735,  161.838982
   0.857143,  161.838982
   0.877551,  161.838982
   0.897959,  161.838982
   0.918367,  161.838982
   0.938776,  161.838982
   0.959184,  161.838982
   0.979592,  161.838982
   1.000000,  161.838982
