alpha_b, CM
  -4.000000,    0.000075
  -3.172414,    0.000064
  -2.344828,    0.000054
  -1.517241,    0.000043
  -0.689655,    0.000033
   0.137931,    0.000022
   0.965517,    0.000012
   1.793103,    0.000001
   2.620690,   -0.000009
   3.448276,   -0.000019
   4.275862,   -0.000029
   5.103448,   -0.000040
   5.931034,   -0.000050
   6.758621,   -0.000061
   7.586207,   -0.000072
   8.413793,   -0.000083
   9.241379,   -0.000094
  10.068966,   -0.000108
  10.896552,   -0.000123
  11.724138,   -0.000140
  12.551724,   -0.000159
  13.379310,   -0.000179
  14.206897,   -0.000199
  15.034483,   -0.000217
  15.862069,   -0.000231
