*****************************
Basic coeficients
*****************************
Alpha, Cd
   21.00    ,    7.326    
   22.00    ,    7.214    
   24.00    ,    7.222    

Alpha, d_Epslon
  -16.00    ,    .3042    
  -8.000    ,    .3619    
  -6.000    ,    .3823    
  -4.000    ,    .3919    
  -2.000    ,    .3982    
    .000    ,    .4039    
   2.000    ,    .4100    
   4.000    ,    .4145    
   8.000    ,    .4165    
   9.000    ,    .4092    
   10.00    ,    .3857    
   12.00    ,    .3260    
   14.00    ,    .2824    
   16.00    ,    .2682    
   18.00    ,    .2675    
   19.00    ,    .2434    
   20.00    ,    .7623E-01
   21.00    ,   -.9001E-01
   22.00    ,   -.7303E-01
   24.00    ,    .3784E-02

Alpha, CLq
  -16.00    ,    1.417    
  -8.000    ,    1.417    
  -6.000    ,    1.417    
  -4.000    ,    1.417    
  -2.000    ,    1.417    
    .000    ,    1.417    
   2.000    ,    1.417    
   4.000    ,    1.417    
   8.000    ,    1.417    
   9.000    ,    1.417    
   10.00    ,    1.417    
   12.00    ,    1.417    
   14.00    ,    1.417    
   16.00    ,    1.417    
   18.00    ,    1.417    
   19.00    ,    1.417    
   20.00    ,    1.417    
   21.00    ,    1.417    
   22.00    ,    1.417    
   24.00    ,    1.417    

Alpha, Cmq
  -16.00    ,   -.3674    
  -8.000    ,   -.3674    
  -6.000    ,   -.3674    
  -4.000    ,   -.3674    
  -2.000    ,   -.3674    
    .000    ,   -.3674    
   2.000    ,   -.3674    
   4.000    ,   -.3674    
   8.000    ,   -.3674    
   9.000    ,   -.3674    
   10.00    ,   -.3674    
   12.00    ,   -.3674    
   14.00    ,   -.3674    
   16.00    ,   -.3674    
   18.00    ,   -.3674    
   19.00    ,   -.3674    
   20.00    ,   -.3674    
   21.00    ,   -.3674    
   22.00    ,   -.3674    
   24.00    ,   -.3674    

Alpha, CLad_Basic
  -16.00    ,    .2098    
  -8.000    ,    .2496    
  -6.000    ,    .2636    
  -4.000    ,    .2703    
  -2.000    ,    .2746    
    .000    ,    .2785    
   2.000    ,    .2827    
   4.000    ,    .2858    
   8.000    ,    .2872    
   9.000    ,    .2822    
   10.00    ,    .2660    
   12.00    ,    .2248    
   14.00    ,    .1947    
   16.00    ,    .1849    
   18.00    ,    .1739    
   19.00    ,    .1629    
   20.00    ,    .5257E-01
   21.00    ,   -.6207E-01
   22.00    ,   -.5036E-01
   24.00    ,    .2609E-02

Alpha, Cmad_Basic
  -16.00    ,   -.9865E-01
  -8.000    ,   -.1174    
  -6.000    ,   -.1239    
  -4.000    ,   -.1271    
  -2.000    ,   -.1291    
    .000    ,   -.1310    
   2.000    ,   -.1329    
   4.000    ,   -.1344    
   8.000    ,   -.1351    
   9.000    ,   -.1327    
   10.00    ,   -.1251    
   12.00    ,   -.1057    
   14.00    ,   -.9157E-01
   16.00    ,   -.8696E-01
   18.00    ,   -.8175E-01
   19.00    ,   -.7661E-01
   20.00    ,   -.2472E-01
   21.00    ,    .2919E-01
   22.00    ,    .2368E-01
   24.00    ,   -.1227E-02

Alpha, Clp
  -16.00    ,   -.2746    
  -8.000    ,   -.3611    
  -6.000    ,   -.3701    
  -4.000    ,   -.3643    
  -2.000    ,   -.3570    
    .000    ,   -.3520    
   2.000    ,   -.3496    
   4.000    ,   -.3453    
   8.000    ,   -.3320    
   9.000    ,   -.3232    
   10.00    ,   -.2906    
   12.00    ,   -.2034    
   14.00    ,   -.1278    
   16.00    ,   -.7187E-01
   18.00    ,   -.9496E-01
   19.00    ,    .8127E-02
   20.00    ,    .1671    
   21.00    ,    .1699    
   22.00    ,    .1228    
   24.00    ,    .6728E-01

Alpha, Cyp
  -16.00    ,   -.2731    
  -8.000    ,   -.1420    
  -6.000    ,   -.1048    
  -4.000    ,   -.6762E-01
  -2.000    ,   -.3005E-01
    .000    ,    .7787E-02
   2.000    ,    .4610E-01
   4.000    ,    .8483E-01
   8.000    ,    .1630    
   9.000    ,    .1827    
   10.00    ,    .2030    
   12.00    ,    .2415    
   14.00    ,    .2775    
   16.00    ,    .3096    
   18.00    ,    .3362    
   19.00    ,    .3585    
   20.00    ,    .3961    
   21.00    ,    .4061    
   22.00    ,    .3998    
   24.00    ,    .4137    

Alpha, Cnp
  -16.00    ,    .1392    
  -8.000    ,    .7373E-01
  -6.000    ,    .5407E-01
  -4.000    ,    .3476E-01
  -2.000    ,    .1496E-01
    .000    ,   -.5278E-02
   2.000    ,   -.2607E-01
   4.000    ,   -.4741E-01
   8.000    ,   -.9143E-01
   9.000    ,   -.1029    
   10.00    ,   -.1160    
   12.00    ,   -.1419    
   14.00    ,   -.1656    
   16.00    ,   -.1854    
   18.00    ,   -.1985    
   19.00    ,   -.2144    
   20.00    ,   -.2269    
   21.00    ,   -.2279    
   22.00    ,   -.2292    
   24.00    ,   -.2368    

Alpha, Cnr
  -16.00    ,   -.1993    
  -8.000    ,   -.2455    
  -6.000    ,   -.2563    
  -4.000    ,   -.2666    
  -2.000    ,   -.2766    
    .000    ,   -.2860    
   2.000    ,   -.2948    
   4.000    ,   -.3031    
   8.000    ,   -.3176    
   9.000    ,   -.3208    
   10.00    ,   -.3238    
   12.00    ,   -.3293    
   14.00    ,   -.3340    
   16.00    ,   -.3380    
   18.00    ,   -.3412    
   19.00    ,   -.3425    
   20.00    ,   -.3436    
   21.00    ,   -.3445    
   22.00    ,   -.3452    
   24.00    ,   -.3459    

Alpha, Clr
  -16.00    ,   -.2882E-01
  -8.000    ,    .5152E-01
  -6.000    ,    .7612E-01
  -4.000    ,    .1002    
  -2.000    ,    .1235    
    .000    ,    .1459    
   2.000    ,    .1679    
   4.000    ,    .1893    
   8.000    ,    .2298    
   9.000    ,    .2392    
   10.00    ,    .2479    
   12.00    ,    .2584    
   14.00    ,    .2623    
   16.00    ,    .2590    
   18.00    ,    .2526    
   19.00    ,    .2518    
   20.00    ,    .2404    
   21.00    ,    .2257    
   22.00    ,    .2139    
   24.00    ,    .1935    

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -40.00    ,   -.1189    
  -30.00    ,   -.1008    
  -20.00    ,   -.8695E-01
  -10.00    ,   -.5027E-01
    .000    ,     .000    
   10.00    ,    .5027E-01
   20.00    ,    .8695E-01
   30.00    ,    .1008    
   40.00    ,    .1189    

Plain flaps
DeltaFlap, Cm
  -40.00    ,    .5992E-01
  -30.00    ,    .5100E-01
  -20.00    ,    .4388E-01
  -10.00    ,    .2543E-01
    .000    ,     .000    
   10.00    ,   -.2543E-01
   20.00    ,   -.4388E-01
   30.00    ,   -.5100E-01
   40.00    ,   -.5993E-01

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -40.00    ,   -30.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    30.00    ,    40.00    
  -16.00    ,    .2031E-01,    .1633E-01,    .1353E-01,    .6962E-02,     .000    ,   -.4479E-02,   -.6169E-02,   -.6469E-02,   -.6587E-02
  -8.000    ,    .1341E-01,    .1048E-01,    .8476E-02,    .4026E-02,     .000    ,   -.1543E-02,   -.1114E-02,   -.6188E-03,    .3148E-03
  -6.000    ,    .1186E-01,    .9170E-02,    .7343E-02,    .3369E-02,     .000    ,   -.8855E-03,    .1855E-04,    .6923E-03,    .1861E-02
  -4.000    ,    .1035E-01,    .7884E-02,    .6232E-02,    .2723E-02,     .000    ,   -.2401E-03,    .1130E-02,    .1978E-02,    .3379E-02
  -2.000    ,    .8846E-02,    .6614E-02,    .5135E-02,    .2086E-02,     .000    ,    .3973E-03,    .2227E-02,    .3249E-02,    .4877E-02
    .000    ,    .5622E-02,    .3880E-02,    .2773E-02,    .7142E-03,     .000    ,    .1769E-02,    .4589E-02,    .5982E-02,    .8102E-02
   2.000    ,    .5890E-02,    .4108E-02,    .2969E-02,    .8282E-03,     .000    ,    .1655E-02,    .4393E-02,    .5755E-02,    .7834E-02
   4.000    ,    .4434E-02,    .2873E-02,    .1903E-02,    .2089E-03,     .000    ,    .2274E-02,    .5459E-02,    .6989E-02,    .9289E-02
   8.000    ,    .1546E-02,    .4247E-03,   -.2127E-03,   -.1020E-02,     .000    ,    .3503E-02,    .7575E-02,    .9438E-02,    .1218E-01
   9.000    ,    .8219E-03,   -.1889E-03,   -.7428E-03,   -.1328E-02,     .000    ,    .3811E-02,    .8105E-02,    .1005E-01,    .1290E-01
   10.00    ,    .8053E-04,   -.8174E-03,   -.1286E-02,   -.1643E-02,     .000    ,    .4126E-02,    .8648E-02,    .1068E-01,    .1364E-01
   12.00    ,   -.1524E-02,   -.2178E-02,   -.2461E-02,   -.2326E-02,     .000    ,    .4809E-02,    .9823E-02,    .1204E-01,    .1525E-01
   14.00    ,   -.3262E-02,   -.3651E-02,   -.3734E-02,   -.3065E-02,     .000    ,    .5548E-02,    .1110E-01,    .1351E-01,    .1699E-01
   16.00    ,   -.5083E-02,   -.5195E-02,   -.5068E-02,   -.3840E-02,     .000    ,    .6323E-02,    .1243E-01,    .1506E-01,    .1881E-01
   18.00    ,   -.6892E-02,   -.6728E-02,   -.6393E-02,   -.4609E-02,     .000    ,    .7092E-02,    .1375E-01,    .1659E-01,    .2062E-01
   19.00    ,   -.7802E-02,   -.7500E-02,   -.7059E-02,   -.4996E-02,     .000    ,    .7479E-02,    .1442E-01,    .1736E-01,    .2153E-01
   20.00    ,   -.8768E-02,   -.8319E-02,   -.7767E-02,   -.5407E-02,     .000    ,    .7890E-02,    .1513E-01,    .1818E-01,    .2249E-01
   21.00    ,   -.1009E-01,   -.9442E-02,   -.8737E-02,   -.5970E-02,     .000    ,    .8454E-02,    .1610E-01,    .1930E-01,    .2382E-01
   22.00    ,   -.1147E-01,   -.1061E-01,   -.9746E-02,   -.6557E-02,     .000    ,    .9040E-02,    .1711E-01,    .2047E-01,    .2519E-01
   24.00    ,   -.1394E-01,   -.1270E-01,   -.1156E-01,   -.7607E-02,     .000    ,    .1009E-01,    .1892E-01,    .2257E-01,    .2766E-01

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -40.00    ,   -30.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    30.00    ,    40.00    
  -16.00    ,    .2031E-01,    .1633E-01,    .1353E-01,    .6962E-02,   -.5718E-05,   -.4479E-02,   -.6169E-02,   -.6469E-02,   -.6587E-02
  -8.000    ,    .1341E-01,    .1048E-01,    .8476E-02,    .4026E-02,   -.2783E-05,   -.1543E-02,   -.1114E-02,   -.6188E-03,    .3148E-03
  -6.000    ,    .1186E-01,    .9170E-02,    .7343E-02,    .3369E-02,   -.2126E-05,   -.8855E-03,    .1855E-04,    .6923E-03,    .1861E-02
  -4.000    ,    .1035E-01,    .7884E-02,    .6232E-02,    .2723E-02,   -.1480E-05,   -.2401E-03,    .1130E-02,    .1978E-02,    .3379E-02
