Fuel used, Altitude
   0.000033,    0.000000
   0.033251,    0.000000
   0.066519,    0.000000
   0.099789,    0.000000
   0.133059,    0.000000
   0.166330,    0.000000
   0.199600,    0.000000
   0.232870,    0.000000
   0.266140,    0.000000
   0.299410,    0.000000
   0.332680,    0.000000
   0.365951,    0.000000
   0.399246,    0.000000
   0.432544,    0.000000
   0.465842,    0.000000
   0.499140,    0.000000
   0.532439,    0.000000
   0.565737,    0.000000
   0.599035,    0.000000
   0.632333,    0.000000
   0.665631,    0.000000
   0.698930,    0.000000
   0.732245,    0.000000
   0.765563,    0.000000
   0.798881,    0.000000
   0.832199,    0.000000
   0.865516,    0.000000
   0.898834,    0.000000
   0.932152,    0.000000
   0.965470,    0.000000
   0.998788,    0.000000
   1.032105,    0.000000
   1.065433,    0.000000
   1.098762,    0.000000
   1.132092,    0.000000
   1.165421,    0.000000
   1.198750,    0.000000
   1.232079,    0.000000
   1.265408,    0.000000
   1.298737,    0.000000
   1.332066,    0.000000
   1.365396,    0.000000
   1.398728,    0.000000
   1.432060,    0.000000
   1.465393,    0.000000
   1.498726,    0.000000
   1.532058,    0.000000
   1.565391,    0.000000
   1.598724,    0.000000
   1.632056,    0.000000
   1.665389,    0.000000
   1.698721,    0.000000
   1.732066,    0.000000
   1.765413,    0.000000
   1.798760,    0.000000
   1.832107,    0.000000
   1.865453,    0.000000
   1.898800,    0.000000
   1.932147,    0.000000
   1.965493,    0.000000
   1.998840,    0.000000
   2.032187,    0.000000
   2.065568,    0.000000
   2.098955,    0.000000
   2.132341,    0.000000
   2.165727,    0.000000
   2.199113,    0.000000
   2.232499,    0.000000
   2.265885,    0.000000
   2.299271,    0.000000
   2.332657,    0.000000
   2.366043,    0.000000
   2.399450,    0.000000
   2.432859,    0.000000
   2.466268,    0.000000
   2.499677,    0.000000
   2.533086,    0.000000
   2.566495,    0.000000
   2.599903,    0.000000
   2.633312,    0.000000
   2.666721,    0.000000
   2.700130,    0.000000
   2.733545,    0.000000
   2.766960,    0.000000
   2.800375,    0.000000
   2.833790,    0.000000
   2.867205,    0.000000
   2.900621,    0.000000
   2.934036,    0.000000
   2.967451,    0.000000
   3.000866,    0.000000
   3.034281,    0.000000
   3.067688,    0.000000
   3.101094,    0.000000
   3.134500,    0.000000
   3.167906,    0.000000
   3.201311,    0.000000
   3.234717,    0.000000
   3.268123,    0.000000
   3.301529,    0.000000
   3.334935,    0.000000
   3.368340,    0.000000
   3.401725,    0.000000
   3.435107,    0.000000
   3.468489,    0.000000
   3.501870,    0.000000
   3.535252,    0.000000
   3.568634,    0.000000
   3.602016,    0.000000
   3.635398,    0.000000
   3.668780,    0.000000
   3.702162,    0.000000
   3.735567,    0.000000
   3.768975,    0.000000
   3.802384,    0.000000
   3.835792,    0.000000
   3.869201,    0.000000
   3.902609,    0.000000
   3.936018,    0.000000
   3.969426,    0.000000
   4.002834,    0.000000
   4.036243,    0.000000
   4.069717,    0.000000
   4.103200,    0.000000
   4.136682,    0.000000
   4.170165,    0.000000
   4.203647,    0.000000
   4.237130,    0.000000
   4.270612,    0.000000
   4.304095,    0.000000
   4.337578,    0.000000
   4.371060,    0.000000
   4.404579,    0.000000
   4.438102,    0.000000
   4.471625,    0.000000
   4.505148,    0.000000
   4.538672,    0.000000
   4.572195,    0.000000
   4.605718,    0.000000
   4.639241,    0.000000
   4.672764,    0.000000
   4.706287,    0.000000
   4.739819,    0.000000
   4.773352,    0.000000
   4.806884,    0.000000
   4.840417,    0.000000
   4.873950,    0.000000
   4.907482,    0.000000
   4.941015,    0.000000
   4.974548,    0.000000
   5.008080,    0.000000
   5.041613,    0.000000
   5.075129,    0.000000
   5.108642,    0.000000
   5.142156,    0.000000
   5.175670,    0.000000
   5.209183,    0.000000
   5.242697,    0.000000
   5.276211,    0.000000
   5.309724,    0.000000
   5.343238,    0.000000
   5.376752,    0.000000
   5.410226,    0.000000
   5.443694,    0.000000
   5.477163,    0.000000
   5.510632,    0.000000
   5.544101,    0.000000
   5.577570,    0.000000
   5.611039,    0.000000
   5.644508,    0.000000
   5.677976,    0.000000
   5.711445,    0.000000
   5.744854,    0.000000
   5.778256,    0.000000
   5.811657,    0.000000
   5.845059,    0.000000
   5.878460,    0.000000
   5.911862,    0.000000
   5.945263,    0.000000
   5.978665,    0.000000
   6.012066,    0.000000
   6.045468,    0.000000
   6.078863,    0.000000
   6.112258,    0.000000
   6.145653,    0.000000
   6.179048,    0.000000
   6.212442,    0.000000
   6.245837,    0.000000
   6.265379,    0.000000
   6.298810,    0.000000
   6.332242,    0.000000
   6.365673,    0.000000
   6.399121,    0.000000
   6.432588,    0.000000
   6.466055,    0.000000
   6.499523,    0.000000
   6.532990,    0.000000
   6.566457,    0.000000
   6.599924,    0.000000
   6.633391,    0.000000
   6.666858,    0.000000
   6.700325,    0.000000
   6.733807,    0.000000
   6.767306,    0.000000
   6.800805,    0.000000
   6.834303,    0.000000
   6.867802,    0.000000
   6.901301,    0.000000
   6.934800,    0.000000
   6.968298,    0.000000
   7.001797,    0.000000
   7.035296,    0.000000
   7.068798,    0.000000
   7.102304,    0.000000
   7.135811,    0.000000
   7.169317,    0.000000
   7.202823,    0.000000
   7.236330,    0.000000
   7.269836,    0.000000
   7.303343,    0.000000
   7.336849,    0.000000
   7.370355,    0.000000
   7.387974,    0.000000
   7.421470,    0.152465
   7.454967,    0.304930
   7.488464,    0.457395
   7.521961,    0.609860
   7.555458,    0.762325
   7.588954,    0.914790
   7.622451,    1.067255
   7.655948,    1.219719
   7.689445,    1.372184
   7.722942,    1.524649
   7.756429,    1.922885
   7.789916,    2.321121
   7.823403,    2.719357
   7.856890,    3.117593
   7.890377,    3.515829
   7.923858,    4.087544
   7.957339,    4.659260
   7.990821,    5.230975
   8.024302,    5.802691
   8.057783,    6.374407
   8.091260,    7.133836
   8.124736,    7.893265
   8.158213,    8.652695
   8.191690,    9.412124
   8.225166,   10.171554
   8.225166,   10.668000
  28.652063,  585.216000
  49.190016, 1159.764000
  69.942364, 1734.312000
  91.359209, 2308.860000
 113.854180, 2883.408000
 137.690800, 3457.956000
 163.245919, 4032.504000
 191.082333, 4607.052000
 222.581621, 5181.600000
 222.581621, 5181.600000
 233.324740, 5181.600000
 244.066114, 5181.600000
 254.805743, 5181.600000
 265.543627, 5181.600000
 276.279765, 5181.600000
 287.014157, 5181.600000
 297.746805, 5181.600000
 308.477706, 5181.600000
 319.206863, 5181.600000
 329.934274, 5181.600000
 340.659939, 5181.600000
 351.383859, 5181.600000
 362.106033, 5181.600000
 372.826463, 5181.600000
 383.545146, 5181.600000
 394.262084, 5181.600000
 404.977277, 5181.600000
 415.690724, 5181.600000
 426.402426, 5181.600000
 437.112382, 5181.600000
 447.820593, 5181.600000
 458.527058, 5181.600000
 469.231778, 5181.600000
 479.934752, 5181.600000
 490.635980, 5181.600000
 501.335464, 5181.600000
 512.033201, 5181.600000
 522.729193, 5181.600000
 533.423440, 5181.600000
 533.423440, 5181.600000
 542.332424, 4656.666667
 551.109877, 4131.733333
 559.812010, 3606.800000
 568.334079, 3081.866667
 576.682990, 2556.933333
 584.861458, 2032.000000
 592.742848, 1507.066667
 600.454226,  982.133333
 608.048282,  457.200000
 608.048282,  457.200000
 617.875452,  745.066667
 627.722689, 1032.933333
 637.583943, 1320.800000
 647.480276, 1608.666667
 657.507117, 1896.533333
 667.743674, 2184.400000
 678.213385, 2472.266667
 688.942686, 2760.133333
 699.958161, 3048.000000
 699.958161, 3048.000000
 717.510849, 3048.000000
 735.056775, 3048.000000
 752.595930, 3048.000000
 770.128300, 3048.000000
 787.653875, 3048.000000
 805.172644, 3048.000000
 822.684594, 3048.000000
 840.189714, 3048.000000
 857.687993, 3048.000000
 857.687993, 3048.000000
 862.997456, 2760.133333
 868.240981, 2472.266667
 872.934357, 2184.400000
 877.639120, 1896.533333
 882.341330, 1608.666667
 887.046514, 1320.800000
