Ground Roll Distance, Acceleration
 330.047205,   -0.404349
 337.352724,   -0.403772
 387.129661,   -0.399884
 397.005125,   -0.399123
 406.854116,   -0.398368
 416.676703,   -0.397618
 426.472959,   -0.396873
 426.864262,   -0.396844
 427.646743,   -0.396784
 427.959689,   -0.396760
 428.092573,   -0.396750
 428.358328,   -0.396730
 428.380346,   -0.396729
 428.399174,   -0.396727
 428.409508,   -0.396726
 428.414733,   -0.396726
 428.416760,   -0.396726
 428.418008,   -0.396726
 428.418823,   -0.396726
 428.419065,   -2.406517
 428.419313,   -2.406520
 428.421787,   -2.406546
 428.446533,   -2.406807
 428.693955,   -2.409426
 431.164404,   -2.435746
 455.478274,   -2.712749
 485.458161,   -3.105812
 513.162983,   -3.531371
 538.280181,   -3.982367
 560.860411,   -4.454743
 580.998908,   -4.943963
 598.812915,   -5.444960
 605.269934,   -5.645949
 609.333094,   -5.778544
 613.459780,   -5.918473
 617.260020,   -6.046598
 620.651133,   -6.164732
 626.867668,   -6.391610
 630.753782,   -6.540893
 632.485452,   -6.609332
 634.146792,   -6.675511
 645.024361,   -7.142730
 647.456194,   -7.256574
 650.485936,   -7.404215
 651.325346,   -7.444626
 652.182453,   -7.485366
 659.951078,   -7.881570
 666.835844,   -8.290754
 668.049399,   -8.371980
 669.337669,   -8.462732
 669.563680,   -8.479223
 669.666005,   -8.486876
 669.781818,   -8.496392
 670.876142,   -8.589844
 674.298620,   -8.960372
 674.851960,   -9.053084
 675.062905,   -9.099112
 675.202268,   -9.138162
 675.291016,   -9.172901
 675.343351,   -9.210256
 675.347263,   -9.216637
 675.349509,   -9.222718
 675.350077,   -9.225772
 675.350241,   -9.227756
 675.350262,   -9.228757
