alpha_b, CM
  -4.000000,   -0.131724
  -3.517241,   -0.118470
  -3.034483,   -0.105217
  -2.551724,   -0.091964
  -2.068966,   -0.078710
  -1.586207,   -0.065457
  -1.103448,   -0.052204
  -0.620690,   -0.038950
  -0.137931,   -0.025697
   0.344828,   -0.012443
   0.827586,    0.000810
   1.310345,    0.014063
   1.793103,    0.027317
   2.275862,    0.040570
   2.758621,    0.053824
   3.241379,    0.067077
   3.724138,    0.080330
   4.206897,    0.093584
   4.689655,    0.106837
   5.172414,    0.120090
   5.655172,    0.133344
   6.137931,    0.146597
   6.620690,    0.159851
   7.103448,    0.173104
   7.586207,    0.186357
   8.068966,    0.199611
   8.551724,    0.212864
   9.034483,    0.226118
   9.517241,    0.239371
  10.000000,    0.252624
