Mach, Specific Range
   0.634276,    0.052762
   0.636739,    0.053656
   0.639202,    0.054582
   0.641665,    0.055474
   0.644127,    0.056391
   0.646590,    0.057284
   0.649053,    0.058188
   0.651516,    0.059098
   0.653978,    0.060008
   0.656441,    0.060933
   0.658904,    0.061823
   0.661367,    0.062739
   0.663830,    0.063624
   0.666292,    0.064515
   0.668755,    0.065412
   0.671218,    0.066275
   0.673681,    0.067160
   0.676144,    0.068021
   0.678606,    0.068872
   0.681069,    0.069743
   0.683532,    0.070568
   0.685995,    0.071402
   0.688457,    0.072254
   0.690920,    0.073050
   0.693383,    0.073862
   0.695846,    0.074689
   0.698309,    0.075459
   0.700771,    0.076245
   0.703234,    0.077046
   0.705697,    0.077791
   0.708160,    0.078545
   0.710623,    0.079313
   0.713085,    0.080044
   0.715548,    0.080763
   0.718011,    0.081494
   0.720474,    0.082219
   0.722936,    0.082897
   0.725399,    0.083586
   0.727862,    0.084286
   0.730325,    0.084948
   0.732788,    0.085592
   0.735250,    0.086245
   0.737713,    0.086908
   0.740176,    0.087516
   0.742639,    0.088119
   0.745102,    0.088731
   0.747564,    0.089350
   0.750027,    0.089913
   0.752490,    0.090471
   0.754953,    0.091035
   0.757415,    0.091606
   0.759878,    0.092138
   0.762341,    0.092647
   0.764804,    0.093160
   0.767267,    0.093678
   0.769729,    0.094190
   0.772192,    0.094647
   0.774655,    0.095107
   0.777118,    0.095571
   0.779581,    0.096038
   0.782043,    0.096481
   0.784506,    0.096886
   0.786969,    0.097293
   0.789432,    0.097703
   0.791895,    0.098116
   0.794357,    0.098507
   0.796820,    0.098858
   0.799283,    0.099210
   0.801746,    0.099563
   0.804208,    0.099919
   0.806671,    0.100276
   0.809134,    0.100571
   0.811597,    0.100866
   0.814060,    0.101161
   0.816522,    0.101457
   0.818985,    0.101754
   0.821448,    0.102039
   0.823911,    0.102275
   0.826374,    0.102511
   0.828836,    0.102748
   0.831299,    0.102985
   0.833762,    0.103222
   0.836225,    0.103456
   0.838687,    0.103634
   0.841150,    0.103811
   0.843613,    0.103988
   0.846076,    0.104164
   0.848539,    0.104340
   0.851001,    0.104516
   0.853464,    0.104669
   0.855927,    0.104787
   0.858390,    0.104904
   0.860853,    0.105020
   0.863315,    0.105135
   0.865778,    0.105250
   0.868241,    0.105366
   0.870704,    0.105471
   0.873166,    0.105533
   0.875629,    0.105594
   0.878092,    0.105655
