Mach, Specific Range
   0.393330,    0.045241
   0.399282,    0.046890
   0.405235,    0.048551
   0.411187,    0.050224
   0.417140,    0.051910
   0.423092,    0.053594
   0.429045,    0.055265
   0.434997,    0.056936
   0.440949,    0.058618
   0.446902,    0.060252
   0.452854,    0.061895
   0.458807,    0.063533
   0.464759,    0.065123
   0.470712,    0.066732
   0.476664,    0.068299
   0.482617,    0.069860
   0.488569,    0.071408
   0.494522,    0.072922
   0.500474,    0.074441
   0.506427,    0.075906
   0.512379,    0.077383
   0.518332,    0.078797
   0.524284,    0.080220
   0.530237,    0.081588
   0.536189,    0.082948
   0.542142,    0.084278
   0.548094,    0.085570
   0.554047,    0.086870
   0.559999,    0.088087
   0.565952,    0.089329
   0.571904,    0.090505
   0.577856,    0.091662
   0.583809,    0.092823
   0.589761,    0.093889
   0.595714,    0.094968
   0.601666,    0.096020
   0.607619,    0.097002
   0.613571,    0.097989
   0.619524,    0.098938
   0.625476,    0.099822
   0.631429,    0.100711
   0.637381,    0.101573
   0.643334,    0.102356
   0.649286,    0.103139
   0.655239,    0.103954
   0.661191,    0.104643
   0.667144,    0.105320
   0.673096,    0.105995
   0.679049,    0.106633
   0.685001,    0.107193
   0.690954,    0.107750
   0.696906,    0.108302
   0.702859,    0.108803
   0.708811,    0.109236
   0.714763,    0.109658
   0.720716,    0.110076
   0.726668,    0.110462
   0.732621,    0.110770
   0.738573,    0.111072
   0.744526,    0.111369
   0.750478,    0.111660
   0.756431,    0.111878
   0.762383,    0.112064
   0.768336,    0.112245
   0.774288,    0.112418
   0.780241,    0.112585
   0.786193,    0.112682
   0.792146,    0.112752
   0.798098,    0.112817
   0.804051,    0.112877
   0.810003,    0.112930
   0.815956,    0.112952
   0.821908,    0.112913
   0.827861,    0.112868
   0.833813,    0.112815
   0.839766,    0.112754
   0.845718,    0.112687
   0.851670,    0.112606
   0.857623,    0.112509
   0.863575,    0.112408
   0.869528,    0.112304
   0.875480,    0.112195
   0.881433,    0.112082
   0.887385,    0.111973
   0.893338,    0.111817
   0.899290,    0.111636
   0.905243,    0.111458
   0.911195,    0.111278
   0.917148,    0.111095
   0.923100,    0.110913
   0.929053,    0.110728
   0.935005,    0.110530
   0.940958,    0.110281
   0.946910,    0.110029
   0.952863,    0.109976
   0.958815,    0.110135
   0.964768,    0.110291
   0.970720,    0.110443
   0.976673,    0.110591
   0.982625,    0.110736
