CD, CL
   0.005745,   -0.039005
   0.005270,    0.038097
   0.005325,    0.115200
   0.005917,    0.192303
   0.007047,    0.269405
   0.008706,    0.346508
   0.010896,    0.423610
   0.013622,    0.500713
   0.016897,    0.577815
   0.020711,    0.654918
   0.025060,    0.732020
   0.029943,    0.809123
   0.035358,    0.886225
   0.041313,    0.963328
   0.047798,    1.040430
   0.054777,    1.117068
   0.061501,    1.184899
   0.066728,    1.232062
   0.069618,    1.252027
   0.069954,    1.243886
   0.068219,    1.212351
   0.065485,    1.167760
   0.063235,    1.126073
   0.063231,    1.108871
   0.067697,    1.143358
   0.079886,    1.262363
   0.105894,    1.504333
   0.159114,    1.913343
   0.264538,    2.539087
   0.467144,    3.436883
