eta, Total_Load
   0.000000, 4146.793944
   0.020408, 4134.390965
   0.040816, 4139.971065
   0.061224, 4146.252166
   0.081633, 4152.295602
   0.102041, 4157.572649
   0.122449, 4161.751510
   0.142857, 4164.611383
   0.163265, 4165.998975
   0.183673, 4165.803706
   0.204082, 4163.942458
   0.224490, 4160.349671
   0.244898, 4154.970617
   0.265306, 4147.756677
   0.285714, 4138.661865
   0.306122, 4127.640203
   0.326531, 4114.643623
   0.346939, 4099.620228
   0.367347, 4082.512763
   0.387755, 4063.257203
   0.408163, 4041.781388
   0.428571, 4018.003630
   0.448980, 3991.831253
   0.469388, 3963.159010
   0.489796, 3931.867320
   0.510204, 3897.791671
   0.530612, 3860.770933
   0.551020, 3820.654432
   0.571429, 3777.240255
   0.591837, 3730.298215
   0.612245, 3679.565477
   0.632653, 3624.741318
   0.653061, 3565.480794
   0.673469, 3501.387001
   0.693878, 3432.001516
   0.714286, 3356.792399
   0.734694, 3275.138854
   0.755102, 3186.311177
   0.775510, 3089.443753
   0.795918, 2983.497444
   0.816327, 2867.205063
   0.836735, 2738.988784
   0.857143, 2596.828912
   0.877551, 2438.043980
   0.897959, 2258.898005
   0.918367, 2053.837609
   0.938776, 1813.821410
   0.959184, 1521.913646
   0.979592, 1137.089881
   1.000000,    0.000000
