Cl, Efficiency
  -0.119284,   -5.178977
  -0.031054,   -1.421001
   0.057325,    2.686213
   0.145852,    6.790544
   0.234526,   10.527097
   0.323473,   13.625142
   0.412431,   15.938538
   0.501536,   17.476607
   0.590787,   18.331551
   0.680185,   18.653236
   0.769731,   18.587763
   0.859426,   18.254864
   0.949268,   17.747662
   1.039259,   17.136840
   1.129400,   16.474435
   1.217773,   15.775131
   1.289894,   15.022572
   1.334678,   14.290242
   1.353913,   13.669100
   1.362375,   13.269053
   1.387882,   13.246108
   1.471368,   13.828278
   1.666959,   15.303862
   2.042038,   17.928921
   2.677285,   21.722748
