Cl, Efficiency
  -0.109881,   -4.770759
  -0.028559,   -1.306811
   0.052896,    2.478688
   0.134483,    6.261263
   0.216205,    9.698842
   0.298177,   12.542613
   0.380161,   14.662667
   0.462285,   16.070233
   0.544548,   16.851490
   0.626954,   17.142515
   0.709505,   17.074530
   0.792203,   16.763904
   0.875049,   16.295258
   0.958045,   15.733401
   1.041194,   15.125502
   1.122728,   14.482733
   1.189293,   13.789359
   1.230668,   13.113829
   1.248509,   12.540158
   1.256454,   12.168968
   1.280188,   12.134926
   1.357524,   12.652579
   1.538497,   13.828085
   1.885442,   16.159556
