alpha_w, CM
  -2.000000,   -0.142654
  -1.794872,   -0.143132
  -1.589744,   -0.141709
  -1.384615,   -0.138915
  -1.179487,   -0.138546
  -0.974359,   -0.140372
  -0.769231,   -0.142115
  -0.564103,   -0.143684
  -0.358974,   -0.144793
  -0.153846,   -0.145744
   0.051282,   -0.146414
   0.256410,   -0.146943
   0.461538,   -0.147462
   0.666667,   -0.147919
   0.871795,   -0.148190
   1.076923,   -0.148417
   1.282051,   -0.148487
   1.487179,   -0.148648
   1.692308,   -0.148594
   1.897436,   -0.148584
   2.102564,   -0.148373
   2.307692,   -0.148086
   2.512821,   -0.147850
   2.717949,   -0.147389
   2.923077,   -0.146841
   3.128205,   -0.146274
   3.333333,   -0.145927
   3.538462,   -0.145561
   3.743590,   -0.145174
   3.948718,   -0.144872
   4.153846,   -0.144794
   4.358974,   -0.144838
   4.564103,   -0.144959
   4.769231,   -0.145180
   4.974359,   -0.145480
   5.179487,   -0.145737
   5.384615,   -0.146004
   5.589744,   -0.145993
   5.794872,   -0.145900
   6.000000,   -0.145753
