Mach, SFC
   0.460038,    0.416310
   0.463398,    0.417513
   0.466759,    0.418715
   0.470120,    0.419917
   0.473480,    0.421120
   0.476841,    0.422322
   0.480201,    0.423524
   0.483562,    0.424727
   0.486923,    0.425929
   0.490283,    0.427131
   0.493644,    0.428334
   0.497005,    0.429536
   0.500365,    0.430768
   0.503726,    0.432240
   0.507087,    0.433712
   0.510447,    0.435184
   0.513808,    0.436656
   0.517169,    0.438128
   0.520529,    0.439600
   0.523890,    0.441072
   0.527251,    0.442544
   0.530611,    0.444016
   0.533972,    0.445488
   0.537332,    0.446960
   0.540693,    0.448432
   0.544054,    0.449904
   0.547414,    0.451376
   0.550775,    0.452848
   0.554136,    0.454320
   0.557496,    0.455792
   0.560857,    0.457264
   0.564218,    0.458736
   0.567578,    0.460208
   0.570939,    0.461680
   0.574300,    0.463152
   0.577660,    0.464625
   0.581021,    0.466097
   0.584382,    0.467569
   0.587742,    0.469041
   0.591103,    0.470513
   0.594464,    0.471985
   0.597824,    0.473457
   0.601185,    0.474959
   0.604545,    0.476517
   0.607906,    0.478075
   0.611267,    0.479634
   0.614627,    0.481192
   0.617988,    0.482750
   0.621349,    0.484308
   0.624709,    0.485866
   0.628070,    0.487425
   0.631431,    0.488983
   0.634791,    0.490541
   0.638152,    0.492099
   0.641513,    0.493657
   0.644873,    0.495215
   0.648234,    0.496774
   0.651595,    0.498332
   0.654955,    0.499890
   0.658316,    0.501448
   0.661676,    0.503006
   0.665037,    0.504564
   0.668398,    0.506123
   0.671758,    0.507681
   0.675119,    0.509239
   0.678480,    0.510797
   0.681840,    0.512355
   0.685201,    0.513913
   0.688562,    0.515472
   0.691922,    0.517030
   0.695283,    0.518588
   0.698644,    0.520146
   0.702004,    0.521739
   0.705365,    0.523356
   0.708726,    0.524972
   0.712086,    0.526589
   0.715447,    0.528205
   0.718807,    0.529822
   0.722168,    0.531439
   0.725529,    0.533055
   0.728889,    0.534672
   0.732250,    0.536288
   0.735611,    0.537905
   0.738971,    0.539522
   0.742332,    0.541231
   0.745693,    0.542982
   0.749053,    0.544732
   0.752414,    0.546483
   0.755775,    0.548234
   0.759135,    0.549984
   0.762496,    0.551735
   0.765857,    0.553486
   0.769217,    0.555236
   0.772578,    0.556987
   0.775938,    0.558737
   0.779299,    0.560488
   0.782660,    0.493834
   0.786020,    0.409154
   0.789381,    0.324473
   0.792742,    0.239793
