Mach, SFC
   0.436430,    0.407864
   0.440194,    0.409211
   0.443959,    0.410558
   0.447723,    0.411905
   0.451488,    0.413251
   0.455252,    0.414598
   0.459016,    0.415945
   0.462781,    0.417292
   0.466545,    0.418638
   0.470309,    0.419985
   0.474074,    0.421332
   0.477838,    0.422679
   0.481603,    0.424026
   0.485367,    0.425372
   0.489131,    0.426719
   0.492896,    0.428066
   0.496660,    0.429413
   0.500425,    0.430793
   0.504189,    0.432442
   0.507953,    0.434091
   0.511718,    0.435740
   0.515482,    0.437389
   0.519246,    0.439038
   0.523011,    0.440687
   0.526775,    0.442336
   0.530540,    0.443985
   0.534304,    0.445633
   0.538068,    0.447282
   0.541833,    0.448931
   0.545597,    0.450580
   0.549362,    0.452229
   0.553126,    0.453878
   0.556890,    0.455527
   0.560655,    0.457176
   0.564419,    0.458825
   0.568183,    0.460473
   0.571948,    0.462122
   0.575712,    0.463771
   0.579477,    0.465420
   0.583241,    0.467069
   0.587005,    0.468718
   0.590770,    0.470367
   0.594534,    0.472016
   0.598299,    0.473665
   0.602063,    0.475366
   0.605827,    0.477112
   0.609592,    0.478857
   0.613356,    0.480602
   0.617121,    0.482348
   0.620885,    0.484093
   0.624649,    0.485839
   0.628414,    0.487584
   0.632178,    0.489329
   0.635942,    0.491075
   0.639707,    0.492820
   0.643471,    0.494565
   0.647236,    0.496311
   0.651000,    0.498056
   0.654764,    0.499801
   0.658529,    0.501547
   0.662293,    0.503292
   0.666058,    0.505038
   0.669822,    0.506783
   0.673586,    0.508528
   0.677351,    0.510274
   0.681115,    0.512019
   0.684879,    0.513764
   0.688644,    0.515510
   0.692408,    0.517255
   0.696173,    0.519000
   0.699937,    0.520746
   0.703701,    0.522556
   0.707466,    0.524366
   0.711230,    0.526177
   0.714995,    0.527988
   0.718759,    0.529799
   0.722523,    0.531610
   0.726288,    0.533420
   0.730052,    0.535231
   0.733816,    0.537042
   0.737581,    0.538853
   0.741345,    0.540717
   0.745110,    0.542678
   0.748874,    0.544639
   0.752638,    0.546600
   0.756403,    0.548561
   0.760167,    0.550522
   0.763932,    0.552483
   0.767696,    0.554444
   0.771460,    0.556405
   0.775225,    0.558366
   0.778989,    0.560327
   0.782753,    0.491472
   0.786518,    0.396618
   0.790282,    0.301765
   0.794047,    0.206912
   0.797811,    0.112058
   0.801575,    0.116840
   0.805340,    0.260056
   0.809104,    0.403273
