Mach, SFC
   0.424134,    0.403465
   0.428078,    0.404876
   0.432021,    0.406287
   0.435965,    0.407698
   0.439909,    0.409109
   0.443852,    0.410520
   0.447796,    0.411931
   0.451740,    0.413342
   0.455683,    0.414752
   0.459627,    0.416163
   0.463571,    0.417574
   0.467514,    0.418985
   0.471458,    0.420396
   0.475402,    0.421807
   0.479345,    0.423218
   0.483289,    0.424629
   0.487233,    0.426040
   0.491176,    0.427451
   0.495120,    0.428862
   0.499064,    0.430273
   0.503008,    0.431925
   0.506951,    0.433652
   0.510895,    0.435380
   0.514839,    0.437107
   0.518782,    0.438835
   0.522726,    0.440562
   0.526670,    0.442289
   0.530613,    0.444017
   0.534557,    0.445744
   0.538501,    0.447472
   0.542444,    0.449199
   0.546388,    0.450927
   0.550332,    0.452654
   0.554275,    0.454381
   0.558219,    0.456109
   0.562163,    0.457836
   0.566106,    0.459564
   0.570050,    0.461291
   0.573994,    0.463019
   0.577937,    0.464746
   0.581881,    0.466473
   0.585825,    0.468201
   0.589769,    0.469928
   0.593712,    0.471656
   0.597656,    0.473383
   0.601600,    0.475151
   0.605543,    0.476980
   0.609487,    0.478808
   0.613431,    0.480637
   0.617374,    0.482465
   0.621318,    0.484294
   0.625262,    0.486122
   0.629205,    0.487951
   0.633149,    0.489779
   0.637093,    0.491608
   0.641036,    0.493436
   0.644980,    0.495265
   0.648924,    0.497093
   0.652867,    0.498922
   0.656811,    0.500750
   0.660755,    0.502579
   0.664698,    0.504407
   0.668642,    0.506236
   0.672586,    0.508064
   0.676530,    0.509893
   0.680473,    0.511721
   0.684417,    0.513550
   0.688361,    0.515378
   0.692304,    0.517207
   0.696248,    0.519035
   0.700192,    0.520867
   0.704135,    0.522764
   0.708079,    0.524661
   0.712023,    0.526558
   0.715966,    0.528455
   0.719910,    0.530352
   0.723854,    0.532249
   0.727797,    0.534146
   0.731741,    0.536044
   0.735685,    0.537941
   0.739628,    0.539838
   0.743572,    0.541877
   0.747516,    0.543931
   0.751459,    0.545986
   0.755403,    0.548040
   0.759347,    0.550095
   0.763291,    0.552149
   0.767234,    0.554203
   0.771178,    0.556258
   0.775122,    0.558312
   0.779065,    0.560366
   0.783009,    0.485036
   0.786953,    0.385665
   0.790896,    0.286294
   0.794840,    0.186922
   0.798784,    0.087551
   0.802727,    0.160664
   0.806671,    0.310702
   0.810615,    0.000000
   0.814558,    0.000000
