Mach, SFC
   0.448389,    0.412143
   0.451978,    0.413427
   0.455566,    0.414711
   0.459155,    0.415994
   0.462743,    0.417278
   0.466332,    0.418562
   0.469920,    0.419846
   0.473509,    0.421130
   0.477097,    0.422414
   0.480686,    0.423698
   0.484274,    0.424981
   0.487863,    0.426265
   0.491451,    0.427549
   0.495040,    0.428833
   0.498628,    0.430117
   0.502217,    0.431579
   0.505805,    0.433150
   0.509394,    0.434722
   0.512982,    0.436294
   0.516571,    0.437866
   0.520159,    0.439438
   0.523748,    0.441010
   0.527336,    0.442581
   0.530925,    0.444153
   0.534513,    0.445725
   0.538102,    0.447297
   0.541690,    0.448869
   0.545279,    0.450441
   0.548867,    0.452012
   0.552456,    0.453584
   0.556044,    0.455156
   0.559633,    0.456728
   0.563221,    0.458300
   0.566810,    0.459872
   0.570398,    0.461444
   0.573987,    0.463015
   0.577575,    0.464587
   0.581164,    0.466159
   0.584752,    0.467731
   0.588341,    0.469303
   0.591929,    0.470875
   0.595518,    0.472446
   0.599106,    0.474018
   0.602695,    0.475659
   0.606283,    0.477323
   0.609871,    0.478987
   0.613460,    0.480651
   0.617048,    0.482314
   0.620637,    0.483978
   0.624225,    0.485642
   0.627814,    0.487306
   0.631402,    0.488970
   0.634991,    0.490633
   0.638579,    0.492297
   0.642168,    0.493961
   0.645756,    0.495625
   0.649345,    0.497289
   0.652933,    0.498953
   0.656522,    0.500616
   0.660110,    0.502280
   0.663699,    0.503944
   0.667287,    0.505608
   0.670876,    0.507272
   0.674464,    0.508935
   0.678053,    0.510599
   0.681641,    0.512263
   0.685230,    0.513927
   0.688818,    0.515591
   0.692407,    0.517254
   0.695995,    0.518918
   0.699584,    0.520582
   0.703172,    0.522301
   0.706761,    0.524027
   0.710349,    0.525753
   0.713938,    0.527480
   0.717526,    0.529206
   0.721115,    0.530932
   0.724703,    0.532658
   0.728292,    0.534384
   0.731880,    0.536110
   0.735469,    0.537837
   0.739057,    0.539563
   0.742646,    0.541395
   0.746234,    0.543264
   0.749823,    0.545133
   0.753411,    0.547002
   0.757000,    0.548872
   0.760588,    0.550741
   0.764177,    0.552610
   0.767765,    0.554480
   0.771354,    0.556349
   0.774942,    0.558218
   0.778531,    0.560088
   0.782119,    0.507457
   0.785708,    0.417036
   0.789296,    0.326615
   0.792885,    0.236194
   0.796473,    0.145772
   0.800062,    0.059243
   0.803650,    0.195768
