Mach, SFC
   0.411470,    0.398934
   0.415542,    0.400391
   0.419613,    0.401848
   0.423685,    0.403305
   0.427757,    0.404761
   0.431828,    0.406218
   0.435900,    0.407675
   0.439971,    0.409131
   0.444043,    0.410588
   0.448115,    0.412045
   0.452186,    0.413501
   0.456258,    0.414958
   0.460329,    0.416415
   0.464401,    0.417871
   0.468473,    0.419328
   0.472544,    0.420785
   0.476616,    0.422241
   0.480687,    0.423698
   0.484759,    0.425155
   0.488831,    0.426611
   0.492902,    0.428068
   0.496974,    0.429525
   0.501045,    0.431065
   0.505117,    0.432849
   0.509188,    0.434632
   0.513260,    0.436416
   0.517332,    0.438199
   0.521403,    0.439983
   0.525475,    0.441766
   0.529546,    0.443550
   0.533618,    0.445333
   0.537690,    0.447116
   0.541761,    0.448900
   0.545833,    0.450683
   0.549904,    0.452467
   0.553976,    0.454250
   0.558048,    0.456034
   0.562119,    0.457817
   0.566191,    0.459601
   0.570262,    0.461384
   0.574334,    0.463168
   0.578406,    0.464951
   0.582477,    0.466734
   0.586549,    0.468518
   0.590620,    0.470301
   0.594692,    0.472085
   0.598764,    0.473868
   0.602835,    0.475724
   0.606907,    0.477612
   0.610978,    0.479500
   0.615050,    0.481388
   0.619122,    0.483276
   0.623193,    0.485163
   0.627265,    0.487051
   0.631336,    0.488939
   0.635408,    0.490827
   0.639480,    0.492715
   0.643551,    0.494602
   0.647623,    0.496490
   0.651694,    0.498378
   0.655766,    0.500266
   0.659838,    0.502154
   0.663909,    0.504041
   0.667981,    0.505929
   0.672052,    0.507817
   0.676124,    0.509705
   0.680196,    0.511593
   0.684267,    0.513481
   0.688339,    0.515368
   0.692410,    0.517256
   0.696482,    0.519144
   0.700554,    0.521041
   0.704625,    0.523000
   0.708697,    0.524959
   0.712768,    0.526917
   0.716840,    0.528876
   0.720912,    0.530834
   0.724983,    0.532793
   0.729055,    0.534751
   0.733126,    0.536710
   0.737198,    0.538668
   0.741270,    0.540678
   0.745341,    0.542799
   0.749413,    0.544920
   0.753484,    0.547041
   0.757556,    0.549162
   0.761628,    0.551283
   0.765699,    0.553404
   0.769771,    0.555525
   0.773842,    0.557646
   0.777914,    0.559767
   0.781986,    0.510821
   0.786057,    0.408227
   0.790129,    0.305633
   0.794200,    0.203038
   0.798272,    0.100444
   0.802344,    0.146064
   0.806415,    0.300968
   0.810487,    0.000000
   0.814558,    0.000000
