V (EAS), 
 116.016013,    0.000000
 116.016013,    1.000000
 123.507281,    1.133311
 130.998548,    1.274961
 138.489816,    1.424950
 145.981084,    1.583278
 153.472352,    1.749945
 160.963619,    1.924950
 168.454887,    2.108295
 175.946155,    2.299978
 183.437423,    2.500000
 285.960232,    2.500000
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,   -1.000000
 147.926158,    0.000000
