CLe, Static Stability Margin
  -0.823040,    0.455677
  -0.714810,    0.446226
  -0.606742,    0.427462
  -0.498838,    0.408935
  -0.391099,    0.391041
  -0.283512,    0.373663
  -0.176084,    0.359345
  -0.068824,    0.348640
   0.038642,    0.330690
   0.145640,    0.312811
   0.252471,    0.303463
   0.359147,    0.294587
   0.465658,    0.285665
   0.571999,    0.277110
   0.678167,    0.268970
   0.784163,    0.261713
   0.890002,    0.255228
   0.995679,    0.249008
   1.101190,    0.242988
   1.206530,    0.237362
   1.311700,    0.232229
   1.416552,    0.221796
   1.515249,    0.191848
   1.597174,    0.105277
   1.656228,   -0.096679
   1.691424,   -1.102576
   1.706848,   -5.352956
   1.711625,   -7.822578
   1.719146,   -4.459728
   1.747948,   -1.340321
   1.822851,   -0.671500
