CLe, Static Stability Margin
  -0.774693,    0.108748
  -0.682087,    0.099220
  -0.589604,    0.080683
  -0.497233,    0.062356
  -0.404988,    0.043653
  -0.312876,    0.025350
  -0.220888,    0.008180
  -0.129011,   -0.005680
  -0.037259,   -0.013451
   0.054725,   -0.030926
   0.146286,   -0.050558
   0.237736,   -0.059380
   0.329062,   -0.068435
   0.420258,   -0.077214
   0.511331,   -0.084956
   0.602293,   -0.092217
   0.693132,   -0.099562
   0.783843,   -0.106433
   0.874433,   -0.112404
   0.964913,   -0.117956
   1.055270,   -0.123548
   1.145502,   -0.128615
   1.235617,   -0.133003
   1.325555,   -0.141468
   1.411532,   -0.172208
   1.485665,   -0.247031
   1.542807,   -0.407791
   1.581101,   -0.900698
   1.601952,   -3.196650
