CLe, Static Stability Margin
  -0.779101,    0.131568
  -0.686092,    0.122928
  -0.593184,    0.106081
  -0.500370,    0.089431
  -0.407662,    0.072502
  -0.315065,    0.055937
  -0.222575,    0.040344
  -0.130179,    0.028011
  -0.037890,    0.021799
   0.054651,    0.005977
   0.146785,   -0.012104
   0.238823,   -0.019520
   0.330753,   -0.027076
   0.422570,   -0.034379
   0.514280,   -0.040774
   0.605893,   -0.046700
   0.697398,   -0.052625
   0.788791,   -0.058108
   0.880077,   -0.062796
   0.971266,   -0.067068
   1.062348,   -0.071307
   1.153318,   -0.075057
   1.244186,   -0.078214
   1.334888,   -0.085231
   1.421611,   -0.113604
   1.496403,   -0.184454
   1.554067,   -0.338244
   1.592720,   -0.814309
   1.613772,   -3.047108
