CLe, Static Stability Margin
  -0.769030,    0.048068
  -0.668039,    0.038177
  -0.567175,    0.018616
  -0.466438,   -0.000552
  -0.365828,   -0.018926
  -0.265334,   -0.036656
  -0.164960,   -0.050788
  -0.064714,   -0.060677
   0.035752,   -0.078829
   0.135813,   -0.096907
   0.235749,   -0.105264
   0.335567,   -0.113092
   0.435262,   -0.120903
   0.534829,   -0.128271
   0.634267,   -0.135163
   0.733577,   -0.141166
   0.832770,   -0.146409
   0.931842,   -0.151339
   1.030790,   -0.156019
   1.129611,   -0.160270
   1.228306,   -0.164073
   1.326736,   -0.174568
   1.419412,   -0.209337
   1.496351,   -0.313154
   1.551792,   -0.561235
