CLe, Static Stability Margin
  -0.774355,    0.105111
  -0.672528,    0.094445
  -0.570855,    0.073340
  -0.469336,    0.052636
  -0.367971,    0.032790
  -0.266745,    0.013630
  -0.165664,   -0.002036
  -0.064736,   -0.013545
   0.036390,   -0.033200
   0.137084,   -0.052756
   0.237629,   -0.062634
   0.338035,   -0.071962
   0.438295,   -0.081324
   0.538404,   -0.090263
   0.638361,   -0.098725
   0.738167,   -0.106225
   0.837834,   -0.112903
   0.937361,   -0.119298
   1.036742,   -0.125477
   1.135974,   -0.131234
   1.235058,   -0.136507
   1.333856,   -0.148414
   1.426860,   -0.184562
   1.504053,   -0.289488
   1.559669,   -0.537635
   1.592756,   -1.747453
   1.607149,   -7.064931
