CLe, Static Stability Margin
  -0.803589,    0.325976
  -0.697917,    0.316066
  -0.592404,    0.296418
  -0.487051,    0.277065
  -0.381858,    0.258429
  -0.276813,    0.240371
  -0.171921,    0.225536
  -0.067191,    0.214519
   0.037742,    0.195915
   0.142221,    0.177391
   0.246541,    0.167832
   0.350712,    0.158773
   0.454725,    0.149672
   0.558576,    0.140958
   0.662263,    0.132682
   0.765786,    0.125320
   0.869158,    0.118748
   0.972378,    0.112448
   1.075440,    0.106353
   1.178339,    0.100662
   1.281078,    0.095462
   1.383511,    0.084465
   1.479933,    0.052189
   1.559968,   -0.041248
   1.617648,   -0.260414
   1.652001,   -1.342168
   1.667013,   -5.981433
   1.671595,   -8.614072
   1.678899,   -4.894733
   1.707102,   -1.545467
   1.780426,   -0.841116
