CLe, Static Stability Margin
  -0.804088,    0.330346
  -0.707968,    0.321485
  -0.611974,    0.304192
  -0.516097,    0.287049
  -0.420351,    0.269550
  -0.324745,    0.252371
  -0.229269,    0.236171
  -0.133911,    0.223015
  -0.038686,    0.215493
   0.056777,    0.198945
   0.151797,    0.180387
   0.246698,    0.171846
   0.341466,    0.163079
   0.436094,    0.154552
   0.530589,    0.146995
   0.624965,    0.139890
   0.719207,    0.132697
   0.813311,    0.125949
   0.907283,    0.120072
   1.001136,    0.114599
   1.094855,    0.109075
   1.188438,    0.104064
   1.281893,    0.099747
   1.375159,    0.091889
   1.464312,    0.064214
   1.541184,   -0.002442
   1.600449,   -0.144505
   1.640191,   -0.582089
   1.661877,   -2.625164
   1.670349,   -8.490513
   1.673759,   -9.174292
   1.682893,   -3.822369
   1.712624,   -1.377165
   1.781584,   -0.805045
