CLe, Static Stability Margin
  -0.774252,    0.104268
  -0.672438,    0.093599
  -0.570779,    0.072489
  -0.469274,    0.051779
  -0.367922,    0.031929
  -0.266709,    0.012765
  -0.165642,   -0.002904
  -0.064728,   -0.014414
   0.036385,   -0.034073
   0.137066,   -0.053633
   0.237597,   -0.063512
   0.337990,   -0.072841
   0.438237,   -0.082204
   0.538332,   -0.091143
   0.638276,   -0.099606
   0.738069,   -0.107106
   0.837723,   -0.113784
   0.937237,   -0.120179
   1.036605,   -0.126358
   1.135824,   -0.132116
   1.234895,   -0.137389
   1.333680,   -0.149299
   1.426672,   -0.185461
   1.503856,   -0.290431
   1.559464,   -0.538687
   1.592547,   -1.748991
   1.606937,   -7.069096
