V (EAS), 
 124.076942,    0.000000
 124.076942,    1.000000
 132.088712,    1.133311
 140.100482,    1.274961
 148.112252,    1.424950
 156.124022,    1.583278
 164.135791,    1.749945
 172.147561,    1.924950
 180.159331,    2.108295
 188.171101,    2.299978
 196.182871,    2.500000
 337.133458,    2.500000
 421.416822,    2.500000
 421.416822,    0.000000
 337.133458,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,   -1.000000
 161.776540,    0.000000
