alpha body, CL
  -4.000000,    1.114968
  -3.172414,    1.205184
  -2.344828,    1.295336
  -1.517241,    1.385431
  -0.689655,    1.475472
   0.137931,    1.565459
   0.965517,    1.655395
   1.793103,    1.745282
   2.620690,    1.835121
   3.448276,    1.924914
   4.275862,    2.014664
   5.103448,    2.104605
   5.931034,    2.194851
   6.758621,    2.285156
   7.586207,    2.375524
   8.413793,    2.466014
   9.241379,    2.557057
  10.068966,    2.649291
  10.896552,    2.743310
  11.724138,    2.839640
  12.551724,    2.938494
  13.379310,    3.038887
  14.206897,    3.135692
  15.034483,    3.229472
  15.862069,    3.313856
  16.689655,    3.383429
  17.517241,    3.434997
  18.344828,    3.467588
  19.172414,    3.482453
  20.000000,    3.483058
