alpha body, CL
  -4.000000,    1.162510
  -3.172414,    1.252726
  -2.344828,    1.342878
  -1.517241,    1.432973
  -0.689655,    1.523014
   0.137931,    1.613001
   0.965517,    1.702937
   1.793103,    1.792824
   2.620690,    1.882663
   3.448276,    1.972456
   4.275862,    2.062206
   5.103448,    2.152147
   5.931034,    2.242393
   6.758621,    2.332698
   7.586207,    2.423066
   8.413793,    2.513556
   9.241379,    2.604599
  10.068966,    2.696833
  10.896552,    2.790852
  11.724138,    2.887182
  12.551724,    2.986036
  13.379310,    3.086429
  14.206897,    3.183234
  15.034483,    3.277014
  15.862069,    3.361398
  16.689655,    3.430971
  17.517241,    3.482539
  18.344828,    3.515131
  19.172414,    3.529995
  20.000000,    3.530600
