alpha body, CL
  -4.000000,    1.277060
  -3.172414,    1.367275
  -2.344828,    1.457427
  -1.517241,    1.547523
  -0.689655,    1.637563
   0.137931,    1.727551
   0.965517,    1.817487
   1.793103,    1.907373
   2.620690,    1.997212
   3.448276,    2.087006
   4.275862,    2.176755
   5.103448,    2.266696
   5.931034,    2.356942
   6.758621,    2.447248
   7.586207,    2.537616
   8.413793,    2.628106
   9.241379,    2.719148
  10.068966,    2.811383
  10.896552,    2.905401
  11.724138,    3.001732
  12.551724,    3.100585
  13.379310,    3.200978
  14.206897,    3.297783
  15.034483,    3.391564
  15.862069,    3.475948
  16.689655,    3.545520
  17.517241,    3.597088
  18.344828,    3.629680
  19.172414,    3.644544
  20.000000,    3.645150
