alpha body, CL
  -4.000000,    1.217741
  -3.172414,    1.307957
  -2.344828,    1.398109
  -1.517241,    1.488204
  -0.689655,    1.578245
   0.137931,    1.668232
   0.965517,    1.758168
   1.793103,    1.848055
   2.620690,    1.937894
   3.448276,    2.027687
   4.275862,    2.117437
   5.103448,    2.207378
   5.931034,    2.297624
   6.758621,    2.387929
   7.586207,    2.478297
   8.413793,    2.568787
   9.241379,    2.659830
  10.068966,    2.752064
  10.896552,    2.846083
  11.724138,    2.942413
  12.551724,    3.041267
  13.379310,    3.141660
  14.206897,    3.238465
  15.034483,    3.332245
  15.862069,    3.416629
  16.689655,    3.486202
  17.517241,    3.537770
  18.344828,    3.570362
  19.172414,    3.585226
  20.000000,    3.585831
