alpha body, CL
  -4.000000,    1.169452
  -3.172414,    1.259667
  -2.344828,    1.349819
  -1.517241,    1.439915
  -0.689655,    1.529955
   0.137931,    1.619942
   0.965517,    1.709879
   1.793103,    1.799765
   2.620690,    1.889604
   3.448276,    1.979397
   4.275862,    2.069147
   5.103448,    2.159088
   5.931034,    2.249334
   6.758621,    2.339640
   7.586207,    2.430007
   8.413793,    2.520497
   9.241379,    2.611540
  10.068966,    2.703774
  10.896552,    2.797793
  11.724138,    2.894124
  12.551724,    2.992977
  13.379310,    3.093370
  14.206897,    3.190175
  15.034483,    3.283955
  15.862069,    3.368339
  16.689655,    3.437912
  17.517241,    3.489480
  18.344828,    3.522072
  19.172414,    3.536936
  20.000000,    3.537542
