alpha body, CL
  -4.000000,    1.152193
  -3.172414,    1.242408
  -2.344828,    1.332560
  -1.517241,    1.422656
  -0.689655,    1.512696
   0.137931,    1.602684
   0.965517,    1.692620
   1.793103,    1.782506
   2.620690,    1.872345
   3.448276,    1.962139
   4.275862,    2.051888
   5.103448,    2.141830
   5.931034,    2.232075
   6.758621,    2.322381
   7.586207,    2.412749
   8.413793,    2.503239
   9.241379,    2.594281
  10.068966,    2.686516
  10.896552,    2.780534
  11.724138,    2.876865
  12.551724,    2.975718
  13.379310,    3.076111
  14.206897,    3.172916
  15.034483,    3.266697
  15.862069,    3.351081
  16.689655,    3.420653
  17.517241,    3.472221
  18.344828,    3.504813
  19.172414,    3.519677
  20.000000,    3.520283
