alpha body, CL
  -4.000000,    1.338316
  -3.172414,    1.428531
  -2.344828,    1.518683
  -1.517241,    1.608779
  -0.689655,    1.698819
   0.137931,    1.788807
   0.965517,    1.878743
   1.793103,    1.968629
   2.620690,    2.058468
   3.448276,    2.148262
   4.275862,    2.238011
   5.103448,    2.327952
   5.931034,    2.418198
   6.758621,    2.508504
   7.586207,    2.598871
   8.413793,    2.689361
   9.241379,    2.780404
  10.068966,    2.872639
  10.896552,    2.966657
  11.724138,    3.062988
  12.551724,    3.161841
  13.379310,    3.262234
  14.206897,    3.359039
  15.034483,    3.452820
  15.862069,    3.537204
  16.689655,    3.606776
  17.517241,    3.658344
  18.344828,    3.690936
  19.172414,    3.705800
  20.000000,    3.706406
