Ground distance, Altitude
   0.000000,    0.000000
   1.648704,    0.000000
   6.565546,    0.000000
  14.705968,    0.000000
  26.024593,    0.000000
  40.475283,    0.000000
  58.011198,    0.000000
  78.584867,    0.000000
 102.148236,    0.000000
 128.652739,    0.000000
 158.049362,    0.000000
 190.288688,    0.000000
 225.320983,    0.000000
 263.096243,    0.000000
 303.564296,    0.000000
 346.674876,    0.000000
 392.377726,    0.000000
 440.622658,    0.000000
 491.359657,    0.000000
 544.538886,    0.000000
 600.110743,    0.000000
 635.486220,    0.000000
 694.825270,    0.000000
 749.747379,    0.000000
 813.390959,    0.407002
 818.125523,    0.499085
 850.779612,    1.488997
 917.201098,    5.607639
 966.546524,   10.668000
1034.273039,   20.575156
1038.299339,   21.274598
1106.126881,   34.154002
1173.953613,   47.584862
1241.779819,   61.072610
1309.606375,   74.585672
1377.433455,   88.128568
1445.261031,  101.701093
1513.089101,  115.303444
1580.917638,  128.935721
1648.746644,  142.597816
1716.576136,  156.289399
1780.379682,  169.194735
1817.190870,  176.651581
1885.020555,  190.390439
1952.850251,  204.111947
2020.680498,  217.817165
2088.511255,  231.508297
2156.342540,  245.185311
2224.174354,  258.848370
2292.006680,  272.497512
2359.839526,  286.132670
2427.672893,  299.753862
2428.516631,  299.923200
2496.349802,  312.947055
2564.182498,  324.078920
2632.015881,  333.197662
2699.850042,  340.313701
2767.685018,  346.034374
2835.520748,  351.592837
2903.357010,  357.142528
2971.193784,  362.688356
3039.030818,  368.234503
3106.867742,  373.779239
3174.704946,  379.317905
3242.542517,  384.854575
3310.380392,  390.387724
3378.218749,  395.918052
3446.057164,  401.447839
3513.895900,  406.972341
3581.734989,  412.495298
3649.574241,  418.015641
3717.413983,  423.531420
3785.253857,  429.046933
3853.093997,  434.557770
3920.934517,  440.066212
3988.775103,  445.572901
4056.616109,  451.074186
4124.457315,  456.574789
4192.298706,  462.071521
4260.140541,  467.564611
4327.982439,  473.056705
4395.824703,  478.543394
4463.667251,  484.028879
4531.509940,  489.511315
4599.353105,  494.989199
4667.196375,  500.466520
4735.039951,  505.938819
4802.883886,  511.409166
4870.727926,  516.877285
4938.572420,  522.340371
5006.417054,  527.803032
5074.261899,  533.261345
5142.107181,  538.716403
5209.952562,  544.170028
5277.798371,  549.618373
5345.644402,  555.066059
5413.490595,  560.510204
5481.337258,  565.950213
5549.184022,  571.389394
5617.031147,  576.823356
5684.878581,  582.256019
5752.726140,  587.685935
5820.574171,  593.111101
5888.422325,  598.535760
5956.270762,  603.955626
6024.119573,  609.373297
6091.968475,  614.788997
6159.817829,  620.199338
6227.667395,  625.608981
6295.517192,  631.014548
6363.367421,  636.416938
6431.217713,  641.818113
6499.068391,  647.213818
6566.919350,  652.608354
6634.770487,  657.999571
6702.622107,  663.386563
6770.473830,  668.772842
6838.325889,  674.153992
6906.178266,  679.533595
6974.030749,  684.910630
7041.883701,  690.282615
7109.736813,  695.653980
7177.590207,  701.020693
7245.444011,  706.384905
7313.297921,  711.747300
7381.152279,  717.104474
7449.006837,  722.461037
7516.861598,  727.813674
7584.716814,  733.162693
7652.572126,  738.510574
7720.427838,  743.853114
7788.283842,  749.194539
7856.140021,  754.532780
7923.996691,  759.866671
7991.853482,  765.199883
8000.000000,  765.839900
